id,steam_rva,kind,name,notes
241,0x0000E180,func,,
242,0x0000E190,func,,
243,0x0000E1F0,func,,
244,0x0000E230,func,,
245,0x0000E260,func,,
246,0x0000E280,func,,
247,0x0000E290,func,,
248,0x0000E2A0,func,,
249,0x0000E2B0,func,,
250,0x0000E2D0,func,,
251,0x0000E380,func,,
252,0x0000E400,func,,
253,0x0000E450,func,,
254,0x0000E480,func,,
255,0x0000E4A0,func,,
256,0x0000E4D0,func,,
257,0x0000E6B0,func,,
258,0x0000E6D0,func,,
259,0x0000E700,data,,
260,0x0000E730,func,,
261,0x0000E834,data,,
262,0x0000E8F0,func,,
263,0x0000EC70,func,,
264,0x0000ED40,func,,
265,0x0000ED80,func,,
266,0x0000EE20,func,,
267,0x0000EE60,func,,
268,0x0000F140,func,,
269,0x0000F1E0,func,,
270,0x0000F390,func,,
271,0x0000F470,func,,
272,0x0000F4F0,func,,
273,0x0000F540,func,,
274,0x0000F6A0,func,,
275,0x0000F730,func,,
276,0x0000F790,func,,
277,0x0000F840,func,,
278,0x0000F920,func,,
279,0x0000F990,func,,
280,0x0000FA10,func,,
281,0x0000FAB0,func,,
282,0x0000FDD0,func,,
283,0x0000FE60,data,,
284,0x0000FF80,func,,
285,0x00010060,func,,
286,0x000101A0,func,,
287,0x00010270,func,,
288,0x000102F0,func,,
289,0x00010330,func,,
290,0x000103B0,func,,
291,0x00010480,func,,
292,0x00010540,func,,
293,0x00010580,func,,
294,0x000105D0,func,,
295,0x00010620,func,,
296,0x00010670,func,,
297,0x00010720,func,,
298,0x000107D0,func,,
299,0x00010900,func,,
300,0x000109E0,func,,
301,0x00010B30,func,,
302,0x00010D80,func,,
303,0x00010E00,func,,
304,0x00010ED0,func,,
305,0x00010FE0,func,,
306,0x00011030,func,,
307,0x00011070,func,,
308,0x000110B0,func,,
309,0x000110F0,func,,
310,0x00011130,func,,
311,0x000111B0,func,,
312,0x00011220,func,,
313,0x00011260,func,,
314,0x000112F0,func,,
315,0x00011330,func,,
316,0x00011370,func,,
317,0x000113C0,func,,
318,0x00011470,func,,
319,0x000114F0,func,,
320,0x00011530,func,,
321,0x000115B0,func,,
322,0x00011600,func,,
323,0x00011650,func,,
324,0x000116A0,func,,
325,0x000116F0,func,,
326,0x00011740,func,,
327,0x00011790,func,,
328,0x000117D0,func,,
329,0x00011900,func,,
330,0x00011970,func,,
331,0x000119D0,func,,
332,0x00011A30,func,,
333,0x00011A80,func,,
334,0x00011C10,func,,
335,0x00011C80,func,,
336,0x00011CA0,func,,
337,0x00011CF0,func,,
338,0x00011DC0,func,,
339,0x00011EA0,func,,
340,0x00011F20,func,,
341,0x00011F60,func,,
342,0x00012050,func,,
343,0x00012110,func,,
344,0x00012254,data,,
345,0x00012260,data,,
346,0x000122E0,func,,
347,0x00012440,func,,
348,0x00012480,func,,
349,0x00012540,func,,
350,0x000125D0,func,,
351,0x00012630,func,,
352,0x00012770,func,,
353,0x000128E0,func,,
354,0x00012950,func,,
355,0x000129D0,func,,
356,0x00012C50,func,,
357,0x00012D80,func,,
358,0x00012DD0,func,,
359,0x00012EF0,func,,
360,0x00012FB0,func,,
361,0x000130B0,func,,
362,0x000131A0,func,,
363,0x000131E0,func,,
364,0x00013270,func,,
365,0x000132B0,func,,
366,0x000132F0,func,,
367,0x00013350,func,,
368,0x000133E0,func,,
369,0x000134D0,func,,
370,0x000135A0,func,,
371,0x000137F0,func,,
372,0x00013850,func,,
373,0x00013960,func,,
374,0x000139A0,func,,
375,0x000139E0,func,,
376,0x00013A40,func,,
377,0x00013AD0,func,,
378,0x00013BC0,func,,
379,0x00013C90,func,,
380,0x00013EE0,func,,
381,0x00013F70,func,,
382,0x00014050,func,,
383,0x00014100,func,,
384,0x00014230,func,,
385,0x00014380,func,,
386,0x000143F0,func,,
387,0x000144A0,func,,
