# Corpus reachability verdicts. Generated by `jackall-cli xref reach`;
# do not hand-edit. Methodology: docs/docs/engine-internals/asset-reachability.md
# hash	path	verdict	flags	bytes	outRefs	reason
023041E5	domino\user\a1gm00_grindelivery.a1gm00_endoftutorial.debug.lua	unused	DECOY	1829	2	unreachable:authoring-twin
00DA5134	domino\user\a1gm00_grindelivery.a1gm00_journalistbriefing.debug.lua	unused	DECOY	51715	15	unreachable:authoring-twin
F938F3CA	domino\user\a1gm00_grindelivery.a1gm00_mission.debug.lua	unused	DECOY	155718	53	unreachable:authoring-twin
B53E1880	domino\user\a1gm00_grindelivery.a1gm00_primarybuddybriefing.debug.lua	unused	DECOY	30829	13	unreachable:authoring-twin
BE0604CA	domino\user\a1gm00_grindelivery.a1gm00_secondarybuddybriefing.debug.lua	unused	DECOY	17510	9	unreachable:authoring-twin
E927296F	domino\user\a1lm01_copkiller.a1lm01_assassination.debug.lua	unused	DECOY	35452	18	unreachable:authoring-twin
CAB98E38	domino\user\a1lm01_copkiller.a1lm01_briefingbase.debug.lua	unused	DECOY	39221	14	unreachable:authoring-twin
E5139C37	domino\user\a1lm01_copkiller.a1lm01_briefingsubv.debug.lua	unused	DECOY	29570	17	unreachable:authoring-twin
285D573E	domino\user\a1lm01_copkiller.a1lm01_briefingsubv.lua	unknown	-	15710	17	opaque-referrers(domino)
2A46DD39	domino\user\a1lm01_copkiller.a1lm01_briefingsubvpawnbrief.debug.lua	unused	DECOY	18720	5	unreachable:authoring-twin
97183EB7	domino\user\a1lm01_copkiller.a1lm01_briefingsubvpawnbrief.lua	unknown	-	7277	5	opaque-referrers(domino)
45ED3988	domino\user\a1lm01_copkiller.a1lm01_intimidation.debug.lua	unused	DECOY	48774	28	unreachable:authoring-twin
2F56986C	domino\user\a1lm01_copkiller.a1lm01_mission.debug.lua	unused	DECOY	79920	30	unreachable:authoring-twin
4D19204D	domino\user\a1lm01_copkiller.a1lm01_wagerobjective.debug.lua	unused	DECOY	13204	7	unreachable:authoring-twin
05AAB1B0	domino\user\a1lm01_copkiller.a1lm01_wagerobjective.lua	unknown	-	6382	7	opaque-referrers(domino)
F19A8EE1	domino\user\a1lm02_reapsew.a1lm02_assassination.debug.lua	unused	DECOY	35293	18	unreachable:authoring-twin
C05977EF	domino\user\a1lm02_reapsew.a1lm02_briefingbase.debug.lua	unused	DECOY	35091	12	unreachable:authoring-twin
EFF365E0	domino\user\a1lm02_reapsew.a1lm02_briefingsubv.debug.lua	unused	DECOY	32156	18	unreachable:authoring-twin
91B4803B	domino\user\a1lm02_reapsew.a1lm02_briefingsubv.lua	unknown	-	17387	18	opaque-referrers(domino)
183F7BD9	domino\user\a1lm02_reapsew.a1lm02_briefingsubvpawnbrief.debug.lua	unused	DECOY	21206	5	unreachable:authoring-twin
7AAAA584	domino\user\a1lm02_reapsew.a1lm02_briefingsubvpawnbrief.lua	unknown	-	8165	5	opaque-referrers(domino)
5F858534	domino\user\a1lm02_reapsew.a1lm02_mission.debug.lua	unused	DECOY	77284	33	unreachable:authoring-twin
470133CD	domino\user\a1lm02_reapsew.a1lm02_wagerobjective.debug.lua	unused	DECOY	11706	8	unreachable:authoring-twin
606ABB6B	domino\user\a1lm02_reapsew.a1lm02_wagerobjective.lua	unknown	-	5771	8	opaque-referrers(domino)
664B445E	domino\user\a1lm02_reapsew.train_explosion.debug.lua	unused	DECOY	43454	8	unreachable:authoring-twin
4A36DD30	domino\user\a1lm03_junkyarddog.a1lm03_briefingbase.debug.lua	unused	DECOY	35182	12	unreachable:authoring-twin
659CCF3F	domino\user\a1lm03_junkyarddog.a1lm03_briefingsubv.debug.lua	unused	DECOY	29639	17	unreachable:authoring-twin
31C48C64	domino\user\a1lm03_junkyarddog.a1lm03_briefingsubv.lua	unknown	-	15717	17	opaque-referrers(domino)
2AD905C7	domino\user\a1lm03_junkyarddog.a1lm03_briefingsubvpawnbrief.debug.lua	unused	DECOY	18620	5	unreachable:authoring-twin
759AFFA9	domino\user\a1lm03_junkyarddog.a1lm03_briefingsubvpawnbrief.lua	unknown	-	7214	5	opaque-referrers(domino)
03A2226A	domino\user\a1lm03_junkyarddog.a1lm03_explosion.debug.lua	unused	DECOY	26152	12	unreachable:authoring-twin
A4F1B95D	domino\user\a1lm03_junkyarddog.a1lm03_mission.debug.lua	unused	DECOY	64660	28	unreachable:authoring-twin
77A22A84	domino\user\a1lm03_junkyarddog.a1lm03_wagerobjective.debug.lua	unused	DECOY	14815	6	unreachable:authoring-twin
54FF16AB	domino\user\a1lm03_junkyarddog.a1lm03_wagerobjective.lua	unknown	-	6660	6	opaque-referrers(domino)
EBC63A5C	domino\user\a1lm04_directspear.a1lm04_briefingbase.debug.lua	unused	DECOY	35291	12	unreachable:authoring-twin
C46C2853	domino\user\a1lm04_directspear.a1lm04_briefingsubv.debug.lua	unused	DECOY	31455	18	unreachable:authoring-twin
2B7DA7A8	domino\user\a1lm04_directspear.a1lm04_briefingsubv.lua	unknown	-	16765	18	opaque-referrers(domino)
AFA5A39D	domino\user\a1lm04_directspear.a1lm04_briefingsubvpawnbrief.debug.lua	unused	DECOY	18775	5	unreachable:authoring-twin
98D55A7B	domino\user\a1lm04_directspear.a1lm04_briefingsubvpawnbrief.lua	unknown	-	7298	5	opaque-referrers(domino)
64928DEC	domino\user\a1lm04_directspear.a1lm04_intimidation.debug.lua	unused	DECOY	39657	23	unreachable:authoring-twin
36398EED	domino\user\a1lm04_directspear.a1lm04_mission.debug.lua	unused	DECOY	90994	32	unreachable:authoring-twin
8084D804	domino\user\a1lm04_directspear.a1lm04_wagerobjective.debug.lua	unused	DECOY	14048	6	unreachable:authoring-twin
9F0C6D10	domino\user\a1lm04_directspear.a1lm04_wagerobjective.lua	unknown	-	7694	6	opaque-referrers(domino)
13B92168	domino\user\a1lm05_growop.a1lm05_airplaine_defoliant.debug.lua	unused	DECOY	20804	12	unreachable:authoring-twin
AE9FD3C6	domino\user\a1lm05_growop.a1lm05_anteairstrippawnbrief.debug.lua	unused	DECOY	19577	8	unreachable:authoring-twin
AFFC9E01	domino\user\a1lm05_growop.a1lm05_briefingbase.debug.lua	unused	DECOY	35108	12	unreachable:authoring-twin
80568C0E	domino\user\a1lm05_growop.a1lm05_briefingsubv.debug.lua	unused	DECOY	31245	18	unreachable:authoring-twin
6AD34CF9	domino\user\a1lm05_growop.a1lm05_briefingsubv.lua	unknown	-	16729	18	opaque-referrers(domino)
9A655EAC	domino\user\a1lm05_growop.a1lm05_briefingsubvpawnbrief.debug.lua	unused	DECOY	18682	5	unreachable:authoring-twin
F0D64783	domino\user\a1lm05_growop.a1lm05_briefingsubvpawnbrief.lua	unknown	-	7293	5	opaque-referrers(domino)
2A144164	domino\user\a1lm05_growop.a1lm05_mission.debug.lua	unused	DECOY	101524	36	unreachable:authoring-twin
2DF6DEE2	domino\user\a1lm06_oeduardrex.a1lm06_assassination.debug.lua	unused	DECOY	36194	18	unreachable:authoring-twin
7A04BBC1	domino\user\a1lm06_oeduardrex.a1lm06_briefingbase.debug.lua	unused	DECOY	35167	12	unreachable:authoring-twin
55AEA9CE	domino\user\a1lm06_oeduardrex.a1lm06_briefingsubv.debug.lua	unused	DECOY	31509	17	unreachable:authoring-twin
3A24F0F5	domino\user\a1lm06_oeduardrex.a1lm06_briefingsubv.lua	unknown	-	16396	17	opaque-referrers(domino)
8656C8F4	domino\user\a1lm06_oeduardrex.a1lm06_briefingsubvpawnbrief.debug.lua	unused	DECOY	17737	4	unreachable:authoring-twin
3AEC7BDF	domino\user\a1lm06_oeduardrex.a1lm06_briefingsubvpawnbrief.lua	unknown	-	6893	4	opaque-referrers(domino)
23F2FAF3	domino\user\a1lm06_oeduardrex.a1lm06_mission.debug.lua	unused	DECOY	106417	41	unreachable:authoring-twin
FB0A38E7	domino\user\a1lm06_oeduardrex.a1lm06_subv2_prince.debug.lua	unused	DECOY	16368	7	unreachable:authoring-twin
DED40E27	domino\user\a1lm06_oeduardrex.a1lm06_wagerobjective.debug.lua	unused	DECOY	6923	4	unreachable:authoring-twin
65169B07	domino\user\a1lm06_oeduardrex.a1lm06_wagerobjective.lua	unknown	-	3530	4	opaque-referrers(domino)
DEEC2F85	domino\user\a1sm01_townescape.a1sm01_mission.debug.lua	unused	DECOY	218732	60	unreachable:authoring-twin
CE98E8B3	domino\user\a1sm02_foolserrand.a1sm02_blue_assassination.debug.lua	unused	DECOY	28409	15	unreachable:authoring-twin
ACD97137	domino\user\a1sm02_foolserrand.a1sm02_briefing_forblue.debug.lua	unused	DECOY	127599	28	unreachable:authoring-twin
18F40E4F	domino\user\a1sm02_foolserrand.a1sm02_briefing_forred.debug.lua	unused	DECOY	126364	28	unreachable:authoring-twin
4C98BD9B	domino\user\a1sm02_foolserrand.a1sm02_mission_forblue.debug.lua	unused	DECOY	47706	23	unreachable:authoring-twin
8CD1BC45	domino\user\a1sm02_foolserrand.a1sm02_mission_forred.debug.lua	unused	DECOY	47038	23	unreachable:authoring-twin
3629841E	domino\user\a1sm02_foolserrand.a1sm02_red_assassination.debug.lua	unused	DECOY	31742	15	unreachable:authoring-twin
