# hash	name
# Recovered by CRC32 dictionary-matching every ASCII string constant in FarCry2_server's
# rodata + symbol table against every hash actually seen in a real save's exported
# PersistenceDB tree (byte-exact match, both directions verified via Ghidra MCP over the
# live fc2.gpr project). See reverse/dunia/savegame_format.md for methodology and caveats.
# Name-only: this table does not assert a wire type (see SaveGameFieldCatalog for that).
86863A38	ContextBeautifier
BCB4F2AC	HealthFailureWhileHealing
67B32A0A	AimingDot
B5107504	LastBlindCombatNotification
6BF9F8FE	CurrentArmyMemberState
F7814B29	WeaponCurrentClass
974AB5D3	BuddyDownEnable
98F537CE	HighestSocialRegionType
09944E10	BoneOffset
14FC1D2F	BumpAngle
4F6E396E	AIInfamyValue
9FB01F30	ThrowGadget
87F4EE8C	AllSocialRegionType
F83711F9	WagerHandle
75A6245E	EquippedTrack
2656233D	BackupEquipments
79180119	ScriptEventOverrideID
365FB07A	InitialStrategicZoneId
0218D2D3	CurrentBuildingId
02453115	TypeBeautifier
B115638A	DesiredGadget
F5EFF361	IsPlayerInAIvsAIZone
106DBC4F	MercBrain
90D341D8	Diving
6E7993E6	DesiredWeapon
A400E618	ReservedEntrance
111BBB48	WeaponLastTransitionTime
8D45B12E	NextAnim
C2760FAD	ThreatLevelCounter
51418659	ClearVisibility
DE35A9A4	HeadUnderwater
89484DE3	IsUsingMountedWeapon
573AF955	AIStressLevel
27F3ACF6	WantToShootHMR
F33A15CC	VariationID2
34C0FDF8	ThreatEventTimeStamp
0F52B174	IntuitionTimer
E34198E0	RescueAttempt
6A40561A	MoveCallbackLayer
8C0EF406	VariationID
2EDD4022	GotoFireRange
C6B20CE5	FirePropagationResistantTimer
2B20BF43	CameraOffsetBlendTime
1EC581E2	AlertLostTargetRushType
C47B2279	WeaponSwitchTo
377F1C3C	TimeOfDeath
0CC9EC48	VehicleFallBackPositions
4BB4591E	IsDead
76E5B840	LookatEntityTargetIds
A3A79A71	GPSEntity
B3056FD2	DiamondReward
62B8EFF2	VehicleFallBackPosTimer
EA120F58	CurrentArmyMemberRole
68FD9EA8	StateDriver
E8E8BE98	DesiredArmyMemberRoleAction
521169FD	MustDieNow
3A7421EB	UseExternalWeapon
6CE65F08	CompletedChallenge
95ECBD17	UnlimitedUse
C2EFCC0A	stopSoundID
CB583E89	soundType
B0101C7E	startSoundID
F798C392	NameID
F5959D76	UseSense
1CCF1DAB	SeatBone
5366AF54	hidSeats
D8DCB219	EntryList
A46D8A2D	SeatEntry
E87CAA32	MountedWeaponID
C707438E	UserState
38910B55	ForceEntryBone
F3706CD3	ForceExit
A557F5F5	SeatType
448ECAE0	ForceAttach
9F439521	ReinforcementCounter
50A047B9	IsStarted
C5280373	RealDelay
FB96957B	IsBuddyDownActive
AB78C0EF	DelaySlot
7BE05FA6	hidDelays
9071B4F1	SpawnedProjID
6C19E1E7	LoadedProjectile
B6FDAAD0	BackfireStimCounter
6FA86558	ProjStatus
45E6A508	ShootBoneIndex
DB6AFD20	bTacticals
E7EC856A	LaunchedProjectiles
E4E55C5B	bSupplies
17066949	bVehicles
8A275458	bPlayerInside
0EBB9D15	BackfireCounter
802AB14E	PlayingMalfunctionSound
596D509D	Destroyed
726E085B	StoppingExecutor
9FD1D101	StpDuration
049A0ECF	SwitchingWeaponSocial
720BCF80	StpDurationTimer
BC7394E2	HasSyncAction
FB988CFF	CallSetupMoveToDynamics
22843006	SecondarySlotId
68EC4128	SmartTerrainId
24984D05	MovingToSmartTerrain
0795AE17	SecondarySlotReserved
CC13A35D	MidBarkPlayed
3A4CAA81	OutroBarkPlayed
43F33BA3	SwitchWeaponPlan
062C09C2	ParentSlotStarted
5392C320	SwitchedWeapon
BD566935	SmartTerrainStarted
0D5C8DFD	CurrentActionIndex
79700977	SmartTerrainWorkspace
A667CA4A	SwitchedWeaponSocial
70BA5DF1	SocialPlanName
C654BEC7	SwitchingWeapon
008ED392	SecondarySlotReady
DAA18B02	ChanceToDie
C7BE06A6	HasPlayedSecondDegen
AB375ECA	UnarmedSpawn
D2182CDD	SetToBeRemoved
9664A192	RequestedMoveStateID
0CA43F0E	SpawnPointId
0F5B77B3	CanBeSavedFromBuddyDown
013B899B	UsedToBePrimary
F6E9C2A7	mainAvatarArchetype
12DCAA9C	ArchEntity
197D2FFC	Subverted
09A8E9CD	CompletionOrder
A5424F41	SpawnLayer
F6639A1D	Trigger2
E8DDCFE4	UsedToBeRescue
40E82411	HistoryPoints
6F6ACBA7	Trigger1
5CE9F654	CheckTimer
3CA03B3B	PlayerAvatar
9E530588	BuddyLives
25E79B36	HeardBriefing
F0D37D59	UnarmedArchetype
DB97635A	SidequestState
8C7AB542	HasPlayedFirstDegen
15326F21	iCurrentState
0F409EB6	fCurrentHeat
68F4D064	MoveToPlan
5FD86D04	userID
9D195730	PivotRotation
51456828	weaponID
05278ED8	controllerPhysState
5B8908F9	bOverheated
0752F090	fCoolDownCounter
5DA3CB45	RepairSpot
F9D2A7D1	CurrentParticle
48C1B498	GaugeRPMBaseRot
CAD88C5B	FireTimer
8402C380	CurrentSound0
D3D0C4CC	EngineState
0471C380	HasSentEngagedMessage
C384996A	HoodBone
30897877	IsPlayerInRegion
917272B4	GaugeSpeedBoneName
0A479A09	VehicleOnStandby
DAB3AB6B	EngineFireStimTimer
F21DCA7D	EngineStartTimer
1AC9BD4A	AcceptGunnerBlocked
ABFD2119	UserRolePriority
7560A6B5	GaugeRPMBoneName
54DABE14	GaugeSpeedBaseRot
77FA5254	ArmyLinkList
B4C60924	SavedParts
DA8C5A80	VehicleLieutenant
10E323A1	VelocityOverrideEnabled
1DBC4DDD	IsInDesert
D6470F32	CurrentVehicleMemberState
A5D3E4AD	GaugeSpeedBoneIndex
F305F316	CurrentSound1
1EDC39D4	CanExplode
B41A9BAA	nInstantExplosionCrushHealth
6AB8E447	PendingSlaveCount
2CDFC5A6	SeatState
9B518F42	LastNbSlaves
0D930D58	HealthDamageEnabled
55B46E53	CondemnedGunnerDelay
33F434CC	RunOverSoundPlayed
8E8785E1	ExplosionTimer
D230C6EF	GaugeRPMBoneIndex
6D9E37CB	AllowHeadLights
C3013FF3	SavedSlaveList
772D2C3F	CanTriggerExplosion
5A95D384	HasSentFailureMessage
40B130EF	HasEnemyBeenInsideRegion
CC42051B	OwnerArmy
3FF4FC69	HasSentSuccessMessage
D1D70E41	RepairBone
DC17C7AB	EnableUse
D1D32EAC	NeedToBeAttached
D8E983DC	PausingStartTime
980EC519	RotAngle
B2182546	AngleFrom
5ACAC12D	AngleTo
2A8A06CF	ShortestAngleDif
D9627A73	DesiredLook
04CC6544	PauseTime
5A07C886	Pausing
E3F66544	SocialRegionState
DD86E933	iAmmoCount
4B6A7641	bAlreadySpawned
6AD650E1	EntityEvents
C298215A	LuaState
90D21E38	StartRagdoll
3E1BF2B3	SavedRagdoll
884F4E12	hidParams
A9C48191	EventSentCallbackId
CBE147E3	bNeverPicked
45569AED	StartInactive
A9F58383	ScriptedSceneStarted
6223ACEE	NearZOverride
AF899907	bIsLowDesert
45DE04E8	ExternalParticipants
51A0A83A	ScriptedEventCollisionGroup
F2E6A563	iSectorID
A3AD366B	iWorld
FB5FBFD3	DesertInfoEntry
E0895708	SimpleAnimParticipants
0CE75320	bIsHighDesert
D85958B4	PathWalkTotal
BDD0BB3A	FollowPathState
0F198FB0	DistanceToTarget
9960EE0A	WagerRegions
03C583FF	StopMovingUponArrival
B7998839	PathWalkSoFar
20EEF943	StartingPos
5A120998	CollectiveBlackboard
5964181B	LastDirection
FCC31EA5	CurrentPoint
8965F25C	DesiredMoveDir
